model_gene_id	TPM_gmean
g.580.peg.2406	77.67877682
g.580.peg.1398	54.29822636
g.580.peg.1810	66.44337671
g.580.peg.2175	63.4389098
g.580.peg.2385	52.66605705
g.580.peg.1629	436.0137872
g.580.peg.2337	81.36184686
g.580.peg.1943	47.46108383
g.580.peg.935	196.8096056
g.580.peg.1188	36.9672995
g.580.peg.176	121.2579782
g.580.peg.2356	74.32548262
g.580.peg.314	46.42616218
g.580.peg.608	33.30302351
g.580.peg.253	21.65007831
g.580.peg.1242	95.47950034
g.580.peg.2161	69.16381187
g.580.peg.874	74.52928966
g.580.peg.194	102.9003512
g.580.peg.515	124.4089846
g.580.peg.1781	54.37494379
g.580.peg.1902	511.6227756
g.580.peg.2119	27.92321636
g.580.peg.1284	76.83695003
g.580.peg.1602	140.5232992
g.580.peg.197	102.1795719
g.580.peg.1022	124.1389411
g.580.peg.2313	25.86871957
g.580.peg.2132	58.19264221
g.580.peg.679	120.4389979
g.580.peg.1891	64.22250071
g.580.peg.218	41.76951811
g.580.peg.592	237.2394248
g.580.peg.1386	178.1978335
g.580.peg.996	113.0417579
g.580.peg.2049	69.58684976
g.580.peg.806	39.91008892
g.580.peg.2358	17.43655537
g.580.peg.1196	746.600375
267747.1.peg.1349	60.66741456
g.580.peg.244	21.4566537
g.580.peg.1513	19.5415036
g.580.peg.59	101.2724709
g.580.peg.516	88.35266865
g.580.peg.1642	151.784534
g.580.peg.1293	136.3982093
g.580.peg.1636	53.31718668
g.580.peg.2107	97.53550479
g.580.peg.772	65.18354264
g.580.peg.1960	7.014236659
g.580.peg.1155	134.3598538
g.580.peg.2157	166.1029534
g.580.peg.2400	49.75594533
g.580.peg.2140	405.8477615
g.580.peg.1031	1232.424533
g.580.peg.1040	109.9555261
g.580.peg.103	13.07751197
267747.1.peg.1824	19.21556506
g.580.peg.317	78.84118022
g.580.peg.1531	63.36138864
g.580.peg.1528	23.84451342
g.580.peg.2159	97.2273351
g.580.peg.690	127.7433235
g.580.peg.514	18.8448184
g.580.peg.864	18.8448184
g.580.peg.304	53.86336661
g.580.peg.2071	170.4100746
g.580.peg.979	28.77314829
g.580.peg.1892	131.3769171
g.580.peg.18	94.19710543
g.580.peg.2095	96.51134262
g.580.peg.2245	37.85474297
g.580.peg.1175	20.76315452
g.580.peg.1350	20.46762001
g.580.peg.1975	51.39884643
g.580.peg.1552	65.70537077
g.580.peg.1051	66.61780514
g.580.peg.2192	67.69186685
g.580.peg.2291	425.7187337
g.580.peg.2179	137.5138699
g.580.peg.711	89.55998977
g.580.peg.1806	187.135764
g.580.peg.448	87.88810185
g.580.peg.2225	261.9892883
g.580.peg.393	230.3799306
g.580.peg.2223	166.1891013
g.580.peg.1150	45.36791077
g.580.peg.2135	133.1260715
g.580.peg.1449	62.18418671
g.580.peg.1096	209.5428695
g.580.peg.1327	114.6445873
g.580.peg.1945	68.94722505
g.580.peg.2218	43.42958198
g.580.peg.2256	279.4848416
g.580.peg.2164	28.241754
g.580.peg.1985	155.432098
g.580.peg.1212	39.71210827
g.580.peg.667	308.6519304
g.580.peg.191	104.105034
g.580.peg.761	46.16821911
g.580.peg.1292	758.9289658
g.580.peg.2028	31.64013734
g.580.peg.2280	2129.076182
g.580.peg.2149	19.02796445
g.580.peg.2317	39.45048397
g.580.peg.2162	40.36586601
g.580.peg.1388	29.65138512
g.580.peg.1679	82.58242445
g.580.peg.2188	46.11233251
g.580.peg.1114	124.3486482
g.580.peg.1134	129.8592028
g.580.peg.1484	136.1346497
g.580.peg.1231	123.8087909
g.580.peg.948	26.79031401
g.580.peg.1904	24.92588483
g.580.peg.2265	138.7657937
g.580.peg.598	244.2577775
g.580.peg.296	1150.729257
g.580.peg.1773	34.06387978
g.580.peg.1365	62.67124344
