pangene	corr_p_vals	corr_coeff	species_tested_for	p_adj	significant	transcripts_from
DNF11_1971	0.09319826378132282	0.43552647058823524	Cutibacterium_acnes	0.5500335898263176	FALSE	Malassezia_restricta
DNF11_1985	0.2490438178999542	-0.30667941176470587	Cutibacterium_acnes	0.706745710171827	FALSE	Malassezia_restricta
DNF11_2056	0.8406083272607063	-0.05450882352941176	Cutibacterium_acnes	0.920894653009953	FALSE	Malassezia_restricta
DNF11_2103	0.4291738642471917	-0.21317941176470587	Cutibacterium_acnes	0.8062309458811227	FALSE	Malassezia_restricta
DNF11_2121	0.9327380199085755	0.011999999999999999	Cutibacterium_acnes	0.9406073206613819	FALSE	Malassezia_restricta
DNF11_2192	0.10490038646994891	0.42130588235294114	Cutibacterium_acnes	0.5500335898263176	FALSE	Malassezia_restricta
DNF11_2193	0.11243780565510358	-0.41368529411764704	Cutibacterium_acnes	0.5500335898263176	FALSE	Malassezia_restricta
DNF11_2196	5.493025068590791e-4	-0.7664323529411764	Cutibacterium_acnes	0.03240252253695977	TRUE	Malassezia_restricta
DNF11_2201	0.894551518321947	-0.024182352941176467	Cutibacterium_acnes	0.9406073206613819	FALSE	Malassezia_restricta
DNF11_2202	0.7696883289262121	-0.07969705882352941	Cutibacterium_acnes	0.9046336852963921	FALSE	Malassezia_restricta
DNF11_2244	0.844577416572664	0.053402941176470584	Cutibacterium_acnes	0.920894653009953	FALSE	Malassezia_restricta
DNF11_2263	0.7346615930551312	-0.0924235294117647	Cutibacterium_acnes	0.884357815224405	FALSE	Malassezia_restricta
DNF11_2288	0.8511306748834934	-0.049676470588235294	Cutibacterium_acnes	0.9224829470294149	FALSE	Malassezia_restricta
DNF11_2311	0.151905156367616	0.37713529411764707	Cutibacterium_acnes	0.6394147279660116	FALSE	Malassezia_restricta
DNF11_2329	0.670041046892946	0.11637647058823529	Cutibacterium_acnes	0.8754013345871282	FALSE	Malassezia_restricta
DNF11_2346	0.2986222263441367	-0.2792823529411765	Cutibacterium_acnes	0.7353442822816195	FALSE	Malassezia_restricta
DNF11_2377	0.642030115485821	0.1262705882352941	Cutibacterium_acnes	0.8544665507568647	FALSE	Malassezia_restricta
DNF11_2390	0.9356332239547102	-0.01634411764705882	Cutibacterium_acnes	0.9406073206613819	FALSE	Malassezia_restricta
DNF11_2428	0.8880558448965439	0.03791176470588235	Cutibacterium_acnes	0.9406073206613819	FALSE	Malassezia_restricta
