TYPE	ACCESSION	ALIAS
EXPERIMENT	ERX14354508	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:187-85673
EXPERIMENT	ERX14354509	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:187-85675
EXPERIMENT	ERX14354510	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:188-85677
EXPERIMENT	ERX14354511	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:188-85679
EXPERIMENT	ERX14354512	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:188-85681
EXPERIMENT	ERX14354513	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:189-85683
EXPERIMENT	ERX14354514	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:189-85685
EXPERIMENT	ERX14354515	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:189-85687
EXPERIMENT	ERX14354516	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:190-85689
EXPERIMENT	ERX14354517	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:190-85691
EXPERIMENT	ERX14354518	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:190-85693
EXPERIMENT	ERX14354519	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:191-85695
EXPERIMENT	ERX14354520	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:191-85697
EXPERIMENT	ERX14354521	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:191-85699
EXPERIMENT	ERX14354522	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:192-85701
EXPERIMENT	ERX14354523	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:192-85703
EXPERIMENT	ERX14354524	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:192-85705
EXPERIMENT	ERX14354525	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:192-85707
EXPERIMENT	ERX14354526	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:193-85709
EXPERIMENT	ERX14354527	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:193-85711
EXPERIMENT	ERX14354528	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:193-85713
EXPERIMENT	ERX14354529	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:194-85715
EXPERIMENT	ERX14354530	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:194-85717
EXPERIMENT	ERX14354531	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:194-85719
EXPERIMENT	ERX14354532	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:195-85721
EXPERIMENT	ERX14354533	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:195-85723
EXPERIMENT	ERX14354534	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:195-85725
EXPERIMENT	ERX14354535	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:196-85727
EXPERIMENT	ERX14354536	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:196-85729
EXPERIMENT	ERX14354537	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:196-85731
EXPERIMENT	ERX14354538	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:197-85733
EXPERIMENT	ERX14354539	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:197-85735
EXPERIMENT	ERX14354540	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:197-85737
EXPERIMENT	ERX14354541	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:198-85739
EXPERIMENT	ERX14354542	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:198-85741
EXPERIMENT	ERX14354543	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:198-85743
EXPERIMENT	ERX14354544	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:198-85745
EXPERIMENT	ERX14354545	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:199-85747
EXPERIMENT	ERX14354546	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:199-85749
EXPERIMENT	ERX14354547	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:199-85751
EXPERIMENT	ERX14354548	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:200-85753
EXPERIMENT	ERX14354549	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:200-85755
EXPERIMENT	ERX14354550	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:200-85757
EXPERIMENT	ERX14354551	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:201-85759
EXPERIMENT	ERX14354552	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:201-85761
EXPERIMENT	ERX14354553	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:201-85763
EXPERIMENT	ERX14354554	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:202-85765
EXPERIMENT	ERX14354555	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:202-85767
EXPERIMENT	ERX14354556	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:202-85769
EXPERIMENT	ERX14354557	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:203-85771
EXPERIMENT	ERX14354558	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:203-85773
EXPERIMENT	ERX14354559	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:203-85775
EXPERIMENT	ERX14354560	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:204-85777
EXPERIMENT	ERX14354561	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:204-85779
EXPERIMENT	ERX14354562	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:204-85781
EXPERIMENT	ERX14354563	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:204-85783
EXPERIMENT	ERX14354564	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:205-85785
